577, Bruno Silva, 0.32, Reprovado
417, Renato Almeida, 0.34, Reprovado
222, Helena Almeida, 0.46, Reprovado
873, Ana Silva, 0.53, Reprovado
337, Juliana Souza, 0.54, Reprovado
340, Fernanda Costa, 0.56, Reprovado
135, Kaio Rodrigues, 0.65, Reprovado
192, Paula Almeida, 0.67, Reprovado
208, Igor Rodrigues, 0.81, Reprovado
164, Juliana Oliveira, 0.81, Reprovado
866, Natália Silva, 0.82, Reprovado
959, Bruno Almeida, 0.85, Reprovado
797, Igor Souza, 0.87, Reprovado
759, Juliana Gomes, 0.92, Reprovado
781, Fernanda Souza, 0.92, Reprovado
439, Igor Silva, 0.93, Reprovado
300, Carlos Lima, 0.94, Reprovado
136, Paula Souza, 0.95, Reprovado
  3, Renato Nascimento, 0.96, Reprovado
742, Larissa Oliveira, 1.03, Reprovado
584, Carlos Almeida, 1.03, Reprovado
667, Natália Oliveira, 1.06, Reprovado
121, Tiago Nascimento, 1.11, Reprovado
475, Daniela Oliveira, 1.12, Reprovado
956, Sara Souza, 1.12, Reprovado
202, Carlos Costa, 1.16, Reprovado
246, Natália Gomes, 1.19, Reprovado
273, Juliana Pereira, 1.26, Reprovado
818, Otávio Gomes, 1.26, Reprovado
145, Bruno Pereira, 1.28, Reprovado
451, Natália Almeida, 1.29, Reprovado
932, Carlos Gomes, 1.32, Reprovado
323, Viviane Costa, 1.33, Reprovado
186, Kaio Gomes, 1.37, Reprovado
544, Gabriel Rodrigues, 1.39, Reprovado
281, Daniela Nascimento, 1.40, Reprovado
454, Tiago Rodrigues, 1.43, Reprovado
868, Helena Nascimento, 1.46, Reprovado
887, Paula Rodrigues, 1.53, Reprovado
 16, Gabriel Souza, 1.53, Reprovado
568, Paula Nascimento, 1.55, Reprovado
 53, Gabriel Lima, 1.55, Reprovado
 49, Viviane Nascimento, 1.57, Reprovado
912, Gabriel Lima, 1.58, Reprovado
412, Marcos Gomes, 1.61, Reprovado
658, Ana Pereira, 1.61, Reprovado
747, Marcos Silva, 1.62, Reprovado
 30, Viviane Oliveira, 1.67, Reprovado
984, Fernanda Costa, 1.68, Reprovado
852, Larissa Almeida, 1.68, Reprovado
947, Eduardo Oliveira, 1.68, Reprovado
474, Eduardo Gomes, 1.70, Reprovado
290, Natália Gomes, 1.72, Reprovado
904, Marcos Pereira, 1.72, Reprovado
429, Bruno Costa, 1.72, Reprovado
536, Kaio Oliveira, 1.73, Reprovado
333, Paula Almeida, 1.74, Reprovado
122, Natália Nascimento, 1.74, Reprovado
560, Bruno Lima, 1.76, Reprovado
389, Kaio Nascimento, 1.76, Reprovado
127, Igor Silva, 1.77, Reprovado
877, Helena Oliveira, 1.77, Reprovado
249, Tiago Pereira, 1.78, Reprovado
156, Kaio Pereira, 1.80, Reprovado
999, Gabriel Oliveira, 1.80, Reprovado
154, Renato Rodrigues, 1.83, Reprovado
580, Ana Pereira, 1.87, Reprovado
190, Helena Gomes, 1.87, Reprovado
484, Renato Nascimento, 1.89, Reprovado
515, Carlos Lima, 1.89, Reprovado
181, Viviane Almeida, 1.90, Reprovado
662, Igor Costa, 1.91, Reprovado
268, Marcos Rodrigues, 1.92, Reprovado
733, Natália Gomes, 1.93, Reprovado
256, Viviane Rodrigues, 1.94, Reprovado
710, Gabriel Gomes, 1.94, Reprovado
266, Otávio Nascimento, 1.94, Reprovado
949, Marcos Costa, 1.96, Reprovado
606, Natália Lima, 1.97, Reprovado
476, Juliana Nascimento, 1.97, Reprovado
260, Gabriel Nascimento, 1.99, Reprovado
706, Fernanda Almeida, 2.02, Reprovado
315, Kaio Gomes, 2.05, Reprovado
881, Juliana Nascimento, 2.07, Reprovado
263, Paula Almeida, 2.09, Reprovado
